signature	EntrezGene.ID	coefficient
RAS	9938	1
RAS	9847	-1
RAS	57507	-1
RAS	80853	1
RAS	85450	1
RAS	688	1
RAS	26092	1
RAS	3949	1
RAS	3949	1
RAS	3949	1
RAS	3964	-1
RAS	10184	1
RAS	3976	1
RAS	119548	1
RAS	120224	1
RAS	129642	1
RAS	11234	1
RAS	163782	-1
RAS	9227	1
RAS	7804	1
RAS	4067	-1
RAS	4084	1
RAS	4084	1
RAS	64332	1
RAS	81631	1
RAS	4170	1
RAS	4237	1
RAS	84803	1
RAS	10793	-1
RAS	84985	1
RAS	115572	-1
RAS	78996	-1
RAS	58508	-1
RAS	4323	1
RAS	4323	1
RAS	4323	1
RAS	117195	1
RAS	57509	-1
RAS	4615	1
RAS	89795	1
RAS	10397	1
RAS	4781	-1
RAS	9221	1
RAS	4907	1
RAS	4907	1
RAS	55117	1
RAS	4953	1
RAS	9943	1
RAS	54873	-1
RAS	10135	1
RAS	29126	1
RAS	22822	1
RAS	22822	1
RAS	22822	1
RAS	7262	1
RAS	5266	1
RAS	8554	-1
RAS	5293	1
RAS	5292	1
RAS	9518	1
RAS	5329	1
RAS	5329	1
RAS	5329	1
RAS	5362	1
RAS	5383	-1
RAS	10687	1
RAS	5473	1
RAS	10105	1
RAS	10105	1
RAS	23645	1
RAS	23645	1
RAS	5621	1
RAS	5743	1
RAS	5743	1
RAS	5744	1
RAS	5744	1
RAS	5791	1
RAS	5806	1
RAS	5817	1
RAS	65059	1
RAS	65059	1
RAS	9136	1
RAS	861	-1
RAS	861	-1
RAS	6382	1
RAS	6382	1
RAS	6385	1
RAS	10509	1
RAS	54910	1
RAS	54910	1
RAS	1992	1
RAS	1992	1
RAS	5055	1
RAS	5268	1
RAS	83667	1
RAS	83667	1
RAS	2810	1
RAS	6502	-1
RAS	9123	1
RAS	6574	1
RAS	6515	1
RAS	6548	1
RAS	6525	1
RAS	6525	1
RAS	8651	1
RAS	81848	1
RAS	23524	-1
RAS	6764	-1
RAS	6804	1
RAS	6926	1
RAS	7980	1
RAS	7039	1
RAS	7039	1
RAS	7042	-1
RAS	7076	1
RAS	8797	1
RAS	8797	1
RAS	8795	1
RAS	51330	1
RAS	27327	-1
RAS	7150	1
RAS	10346	-1
RAS	8848	1
RAS	123016	-1
RAS	7277	1
RAS	6675	1
RAS	7378	1
RAS	57216	-1
RAS	7422	1
RAS	7422	1
RAS	7422	1
RAS	7422	1
RAS	81857	-1
RAS	79413	1
RAS	7538	1
RAS	7745	-1
RAS	285672	1
RAS	285672	1
RAS	81631	1
RAS	84879	1
RAS	3576	1
RAS	201176	1
RAS	9208	1
RAS	56005	1
RAS	861	-1
RAS	23112	-1
RAS	9113	-1
RAS	5154	-1
RAS	1303	-1
RAS	2043	-1
MAPK	32	-1
MAPK	107	-1
MAPK	191	-1
MAPK	293	-1
MAPK	317	-1
MAPK	373	-1
MAPK	400	-1
MAPK	521	-1
MAPK	587	-1
MAPK	596	-1
MAPK	617	-1
MAPK	694	-1
MAPK	744	-1
MAPK	776	-1
MAPK	839	-1
MAPK	1164	-1
MAPK	1326	-1
MAPK	1345	-1
MAPK	1373	-1
MAPK	1434	-1
MAPK	1468	-1
MAPK	1479	-1
MAPK	1573	-1
MAPK	1789	-1
MAPK	1952	-1
MAPK	1960	-1
MAPK	2001	-1
MAPK	2099	-1
MAPK	2122	-1
MAPK	2262	-1
MAPK	2264	-1
MAPK	2317	-1
MAPK	2494	-1
MAPK	2543	-1
MAPK	2576	-1
MAPK	2581	-1
MAPK	2960	-1
MAPK	3321	-1
MAPK	3358	-1
MAPK	3398	-1
MAPK	3643	-1
MAPK	3646	-1
MAPK	3682	-1
MAPK	3705	-1
MAPK	3800	-1
MAPK	3860	-1
MAPK	4048	-1
MAPK	4052	-1
MAPK	4092	-1
MAPK	4171	-1
MAPK	4477	-1
MAPK	4528	-1
MAPK	4602	-1
MAPK	4661	-1
MAPK	4673	-1
MAPK	4685	-1
MAPK	4702	-1
MAPK	4729	-1
MAPK	4883	-1
MAPK	4929	-1
MAPK	5025	-1
MAPK	5087	-1
MAPK	5096	-1
MAPK	5110	-1
MAPK	5121	-1
MAPK	5174	-1
MAPK	5191	-1
MAPK	5241	-1
MAPK	5289	-1
MAPK	5298	-1
MAPK	5335	-1
MAPK	5425	-1
MAPK	5627	-1
MAPK	5710	-1
MAPK	5885	-1
MAPK	5966	-1
MAPK	5979	-1
MAPK	5981	-1
MAPK	6019	-1
MAPK	6138	-1
MAPK	6141	-1
MAPK	6175	-1
MAPK	6185	-1
MAPK	6205	-1
MAPK	6227	-1
MAPK	6383	-1
MAPK	6387	-1
MAPK	6445	-1
MAPK	6565	-1
MAPK	6605	-1
MAPK	6744	-1
MAPK	6785	-1
MAPK	6787	-1
MAPK	6947	-1
MAPK	7031	-1
MAPK	7074	-1
MAPK	7155	-1
MAPK	7164	-1
MAPK	7263	-1
MAPK	7342	-1
MAPK	7366	-1
MAPK	7482	-1
MAPK	7869	-1
MAPK	8187	-1
MAPK	8270	-1
MAPK	8604	-1
MAPK	8645	-1
MAPK	8663	-1
MAPK	8723	-1
MAPK	8776	-1
MAPK	8777	-1
MAPK	8890	-1
MAPK	8934	-1
MAPK	9045	-1
MAPK	9050	-1
MAPK	9053	-1
MAPK	9063	-1
MAPK	9125	-1
MAPK	9289	-1
MAPK	9368	-1
MAPK	9467	-1
MAPK	9656	-1
MAPK	9668	-1
MAPK	9687	-1
MAPK	9779	-1
MAPK	9797	-1
MAPK	9847	-1
MAPK	9931	-1
MAPK	10090	-1
MAPK	10125	-1
MAPK	10140	-1
MAPK	10247	-1
MAPK	10273	-1
MAPK	10276	-1
MAPK	10295	-1
MAPK	10370	-1
MAPK	10395	-1
MAPK	10497	-1
MAPK	10634	-1
MAPK	10675	-1
MAPK	10732	-1
MAPK	10758	-1
MAPK	10856	-1
MAPK	10884	-1
MAPK	10907	-1
MAPK	10914	-1
MAPK	10922	-1
MAPK	10935	-1
MAPK	10974	-1
MAPK	11108	-1
MAPK	11232	-1
MAPK	11259	-1
MAPK	22828	-1
MAPK	22909	-1
MAPK	22996	-1
MAPK	23007	-1
MAPK	23039	-1
MAPK	23067	-1
MAPK	23080	-1
MAPK	23118	-1
MAPK	23171	-1
MAPK	23219	-1
MAPK	23229	-1
MAPK	23244	-1
MAPK	23357	-1
MAPK	23394	-1
MAPK	23443	-1
MAPK	23521	-1
MAPK	23549	-1
MAPK	23563	-1
MAPK	23576	-1
MAPK	23779	-1
MAPK	25840	-1
MAPK	25926	-1
MAPK	25980	-1
MAPK	26097	-1
MAPK	26121	-1
MAPK	26190	-1
MAPK	26353	-1
MAPK	26578	-1
MAPK	27250	-1
MAPK	27258	-1
MAPK	28956	-1
MAPK	28978	-1
MAPK	29104	-1
MAPK	29796	-1
MAPK	29902	-1
MAPK	29964	-1
MAPK	50865	-1
MAPK	51046	-1
MAPK	51074	-1
MAPK	51098	-1
MAPK	51141	-1
MAPK	51185	-1
MAPK	51433	-1
MAPK	51491	-1
MAPK	51499	-1
MAPK	51526	-1
MAPK	51550	-1
MAPK	51669	-1
MAPK	54332	-1
MAPK	54470	-1
MAPK	54665	-1
MAPK	54788	-1
MAPK	54840	-1
MAPK	55005	-1
MAPK	55010	-1
MAPK	55061	-1
MAPK	55081	-1
MAPK	55135	-1
MAPK	55245	-1
MAPK	55256	-1
MAPK	55347	-1
MAPK	55508	-1
MAPK	55573	-1
MAPK	55661	-1
MAPK	55709	-1
MAPK	55726	-1
MAPK	55734	-1
MAPK	55764	-1
MAPK	55769	-1
MAPK	55812	-1
MAPK	55915	-1
MAPK	56034	-1
MAPK	56943	-1
MAPK	56994	-1
MAPK	57007	-1
MAPK	57020	-1
MAPK	57380	-1
MAPK	57473	-1
MAPK	57613	-1
MAPK	60436	-1
MAPK	60598	-1
MAPK	64172	-1
MAPK	64400	-1
MAPK	64699	-1
MAPK	64769	-1
MAPK	64919	-1
MAPK	65055	-1
MAPK	65243	-1
MAPK	79158	-1
MAPK	79602	-1
MAPK	79624	-1
MAPK	79665	-1
MAPK	79695	-1
MAPK	79833	-1
MAPK	79882	-1
MAPK	79989	-1
MAPK	80129	-1
MAPK	80173	-1
MAPK	80187	-1
MAPK	80303	-1
MAPK	81550	-1
MAPK	83752	-1
MAPK	84909	-1
MAPK	87	1
MAPK	133	1
MAPK	391	1
MAPK	411	1
MAPK	444	1
MAPK	677	1
MAPK	727	1
MAPK	824	1
MAPK	831	1
MAPK	967	1
MAPK	1647	1
MAPK	1728	1
MAPK	1729	1
MAPK	1874	1
MAPK	1969	1
MAPK	1999	1
MAPK	2000	1
MAPK	2034	1
MAPK	2101	1
MAPK	2118	1
MAPK	2119	1
MAPK	2185	1
MAPK	2280	1
MAPK	2286	1
MAPK	2355	1
MAPK	2495	1
MAPK	2771	1
MAPK	2810	1
MAPK	3106	1
MAPK	3107	1
MAPK	3133	1
MAPK	3134	1
MAPK	3135	1
MAPK	3455	1
MAPK	3659	1
MAPK	3675	1
MAPK	3726	1
MAPK	3956	1
MAPK	3959	1
MAPK	3988	1
MAPK	3992	1
MAPK	3995	1
MAPK	4000	1
MAPK	4862	1
MAPK	5048	1
MAPK	5152	1
MAPK	5154	1
MAPK	5337	1
MAPK	5359	1
MAPK	5526	1
MAPK	5578	1
MAPK	5583	1
MAPK	5827	1
MAPK	5836	1
MAPK	5937	1
MAPK	5971	1
MAPK	6286	1
MAPK	6303	1
MAPK	6305	1
MAPK	6583	1
MAPK	6672	1
MAPK	6892	1
MAPK	7126	1
MAPK	7280	1
MAPK	7422	1
MAPK	7461	1
MAPK	7538	1
MAPK	8507	1
MAPK	8714	1
MAPK	9138	1
MAPK	9220	1
MAPK	9568	1
MAPK	9582	1
MAPK	9961	1
MAPK	10095	1
MAPK	10133	1
MAPK	10205	1
MAPK	10263	1
MAPK	10331	1
MAPK	10410	1
MAPK	10847	1
MAPK	11097	1
MAPK	11138	1
MAPK	11182	1
MAPK	22927	1
MAPK	22936	1
MAPK	23102	1
MAPK	23268	1
MAPK	23529	1
MAPK	23764	1
MAPK	26010	1
MAPK	27242	1
MAPK	29109	1
MAPK	51097	1
MAPK	51129	1
MAPK	51400	1
MAPK	51657	1
MAPK	53838	1
MAPK	53840	1
MAPK	55080	1
MAPK	55652	1
MAPK	55790	1
MAPK	55861	1
MAPK	56288	1
MAPK	56829	1
MAPK	56935	1
MAPK	57154	1
MAPK	60673	1
MAPK	64063	1
MAPK	64761	1
MAPK	64787	1
MAPK	65983	1
MAPK	79094	1
MAPK	79174	1
MAPK	79567	1
MAPK	79837	1
MAPK	80761	1
MAPK	81848	1
MAPK	84169	1
MAPK	85363	1
MAPK	93664	1
MAPK	206358	1
MAPK	254102	1
MAPK	346225	1
PTEN	5728	-1
PTEN	4291	1
PTEN	1010	1
PTEN	145781	-1
PTEN	4751	1
PTEN	4751	1
PTEN	6612	1
PTEN	2331	-1
PTEN	643224	1
PTEN	10399	-1
PTEN	7372	1
PTEN	11073	1
PTEN	126731	1
PTEN	6612	1
PTEN	5052	1
PTEN	5094	-1
PTEN	330	1
PTEN	5290	1
PTEN	1265	-1
PTEN	26123	-1
PTEN	79132	1
PTEN	3838	1
PTEN	9711	1
PTEN	8510	-1
PTEN	80306	-1
PTEN	2043	-1
PTEN	26973	1
PTEN	84896	-1
PTEN	1164	1
PTEN	8208	1
PTEN	24137	1
PTEN	3838	1
PTEN	23613	-1
PTEN	87178	1
PTEN	11004	1
PTEN	27122	-1
PTEN	205564	1
PTEN	8724	-1
PTEN	728564	1
PTEN	11171	-1
PTEN	6228	-1
PTEN	54503	1
PTEN	1207	1
PTEN	1062	1
PTEN	3416	-1
PTEN	9833	1
PTEN	1164	1
PTEN	5169	-1
PTEN	140459	-1
PTEN	51642	1
PTEN	56977	-1
PTEN	5612	1
PTEN	728564	1
PTEN	10440	1
PTEN	84942	-1
PTEN	3925	1
PTEN	7307	1
PTEN	27316	1
